t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,angle_rad_1,angle_rad_2,angle_rad_3,angle_rad_4,angle_rad_5,torque_state_1,torque_state_2,torque_state_3,torque_state_4,torque_state_5
1767773501.001973,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.053581,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.105587,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.157852,474,682,-2,455,504,-0.108909,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773501.210193,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773501.262334,475,681,-6,455,504,-0.104720,-2.328967,2.119528,-1.382301,0.016755,1,1,1,1,1
1767773501.315357,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773501.367884,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.421860,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.473830,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773501.526370,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.578398,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.630352,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.682363,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773501.734980,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.786461,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773501.839898,474,682,-1,455,504,-0.108909,-2.333156,2.098584,-1.382301,0.016755,1,1,1,1,1
1767773501.891738,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773501.943713,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773501.995745,474,681,-3,454,504,-0.108909,-2.328967,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.048446,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.100104,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773502.152118,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.204497,475,682,-4,454,504,-0.104720,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773502.256315,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.308361,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.360329,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773502.412499,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.464452,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773502.516771,475,681,-3,455,504,-0.104720,-2.328967,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773502.568851,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.620993,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.673357,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773502.724970,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.777316,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773502.829172,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773502.881196,475,682,-1,454,504,-0.104720,-2.333156,2.098584,-1.378112,0.016755,1,1,1,1,1
1767773502.933238,475,682,-3,455,504,-0.104720,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773502.985296,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.037297,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.089356,475,682,-4,454,504,-0.104720,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773503.141669,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.193750,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.246026,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773503.297993,475,682,-4,454,504,-0.104720,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773503.350292,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773503.402160,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773503.454190,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.506284,474,682,-2,455,504,-0.108909,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773503.558424,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.610433,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.662552,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773503.715626,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.767837,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.819740,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.871761,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773503.924074,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773503.975985,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.028368,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773504.080352,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.132573,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773504.184194,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.236445,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773504.288652,474,682,1,454,504,-0.108909,-2.333156,2.090206,-1.378112,0.016755,1,1,1,1,1
1767773504.341028,475,682,-3,455,504,-0.104720,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773504.393244,474,681,-3,454,504,-0.108909,-2.328967,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.445154,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773504.497158,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.550293,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.602455,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773504.654336,475,682,-2,455,504,-0.104720,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773504.706323,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773504.758445,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773504.810507,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773504.862504,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
